Place,TOWN,Max_of_MED_INC,Min_of_MED_INC,Max_of_MED_AGE,Min_of_MED_AGE,ALAND,TOT_POP,COLL_AGE,YNG_PROF,SENIOR,R_WHITE,NON_WH,R_BLACK,R_NAT_A,R_ASIAN,R_PACIF,R_OTHER,R_2,R_2INCO,R_2_EXCO,TOT_WKRS,T0_9,T10_14,T15_19,T20_24,T25_29,T30_34,T35_44,T45_59,T60,DR_ALONE,CARPOOL,TRANSIT,TR0_9,TR10_14,TR15_19,TR20_24,TR25_29,TR30_34,TR35_44,TR45_59,TR60,WALK,TOT_HSHD,TPOP18,TOT_DIS,OC_UNITS,ZERO_VEH
East Somerville,Somerville,84718,26490,45.7,27.8,975873,7685,508,2085,788,5215,2924,870,0,811,0,335,454,165,289,4354,307,529,781,646,297,551,448,533,262,2235,259,1310,23,0,113,106,115,261,290,245,157,332,2953,6599,796,2953,740
Everett,Everett,102575,20086,55.2,29,8871167,42758,2212,9144,4884,28221,17264,7212,77,1710,0,2811,2727,507,2220,21694,1613,2167,1986,2561,736,4406,2502,2559,3164,12671,2381,5255,59,65,254,223,47,968,632,846,2161,780,15350,32970,4579,15350,2592
Fenway/Kenmore,Boston,94211,11608,63.8,19,2613749,37710,20006,11545,1431,26361,12511,1888,71,6954,0,1274,1162,166,996,16112,3817,2220,2685,2285,961,1883,722,896,643,2173,468,4659,48,173,566,923,422,1205,424,603,295,8188,11304,18390,1604,11304,7633
Financial District/Downtown,Boston,250001,99688,63.1,27.9,1027865,5009,882,1340,832,3597,1594,122,3,930,0,175,182,39,143,2769,514,411,673,409,141,231,72,233,85,571,91,587,0,42,238,123,15,105,15,19,30,1460,2301,3786,490,2301,1140
Foxborough,Foxborough,136912,44600,54.6,30.5,51406171,17129,534,2475,2272,16017,1255,227,7,680,0,55,143,1,142,8545,1183,998,915,798,541,1366,604,955,1185,7388,478,484,18,0,0,0,0,7,42,74,343,117,6403,13095,1682,6403,225
Framingham,Framingham,173182,17870,55,20.6,64848086,69900,4040,13394,9678,52150,20831,5622,79,5172,10,3786,3081,582,2499,35334,3955,5434,4332,4173,1732,5394,3102,3907,3305,27443,4491,1481,23,8,101,41,20,150,165,216,757,1355,26724,51866,6292,26724,2520
Franklin,Franklin,177472,41522,48.3,20.8,68977027,32393,2168,3854,3687,30195,2684,290,27,1279,0,116,486,50,436,15501,2122,1728,1325,1262,631,2067,1586,1548,3232,12632,888,1434,31,0,0,0,0,8,5,45,1345,409,10992,22631,2217,10992,664
Government Center/Faneuil Hall,Boston,104615,61058,38.6,32.5,457487,2733,327,817,408,2150,614,283,27,103,0,139,31,0,31,1208,292,397,114,138,32,117,58,28,32,209,11,186,10,12,0,25,32,48,10,28,21,795,1005,2137,497,1005,639
Groton,Groton,140595,93824,53.5,40.1,84837112,10997,653,764,1394,10302,851,115,21,400,0,3,156,0,156,5042,405,371,414,504,375,682,806,821,664,4541,275,81,0,0,21,0,0,0,0,0,60,39,4014,8143,669,4014,109
Holbrook,Holbrook,127700,44257,56.2,37.7,18780278,10925,364,1811,1732,9427,1668,900,18,297,0,113,170,0,170,5317,467,485,630,640,221,873,447,644,910,4523,335,348,0,10,10,0,0,0,19,35,274,58,4343,9020,1376,4343,96
Holliston,Holliston,152396,55208,56.2,35.6,48291191,14008,413,1291,1902,13307,861,102,0,290,50,99,160,42,118,6441,740,477,547,631,447,924,631,1008,1036,5648,473,260,0,0,6,0,0,0,0,9,245,50,5028,10196,840,5028,195
Hopkinton,Hopkinton,165250,81985,44,35.4,68016796,15604,542,1309,1396,14418,1418,114,0,789,0,51,232,34,198,6890,556,754,673,815,210,786,444,1160,1492,5994,206,528,0,0,0,34,0,0,0,11,483,66,5219,10706,759,5219,109
Hudson,Hudson,132308,43125,52.6,36.2,29841352,19464,741,2774,3370,17652,2875,182,20,466,0,81,1063,68,995,9348,1250,1355,1234,1305,548,883,646,1149,978,8396,590,56,0,0,0,2,0,0,11,0,43,267,7657,15428,1902,7657,353
